TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1545658522.405718,7.712007,4.310530,2.611558,0.747770,0.487765,10.767213,5.718842,2.980218,0.933406,0.507598,7.661910,3.651019,2.561603,0.686513,0.441327,9.169022,5.124465,2.161984,0.845366,0.555685,7.864991,3.622564,1.902260,0.607350,0.382082,9.101690,3.696944,2.011026,0.912695,0.482395,10.044769,4.539814,3.523554,1.541423,1.205043,6.758980,4.783939,1.337931,1.501288,0.906139,9.745607,5.058617,1.592743,1.654101,1.026819,8.164090,4.312715,1.612004,1.497281,1.278244,10.431405,5.234889,1.981862,0.698909,0.622095,7.422742,3.203663,1.992300,0.625970,0.396856,10.265119,5.071134,1.870740,0.756829,0.613422,10.400683,3.670519,2.458604,0.713239,0.424894,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.532082,5.266223,3.731945,2.210679,0.670789,0.362302,7.073116,4.521907,2.720114,0.763616,0.418121,5.455876,3.506493,2.175971,0.622656,0.349456,6.125221,4.388644,1.832294,0.722344,0.454929,4.636073,3.133405,1.544430,0.526651,0.350420,4.957544,3.101397,1.390113,0.847403,0.459178,5.910862,4.004126,2.613025,1.514139,1.143714,4.082546,5.002758,1.235925,1.583093,0.914336,5.850084,4.998807,1.400918,1.633914,0.991926,4.829133,3.995488,1.585554,1.380555,1.153025,7.229716,4.792057,1.601940,0.668167,0.505629,5.061350,2.890019,1.715834,0.597380,0.328054,10.916990,4.474237,1.591205,0.743319,0.484650,7.388638,3.427450,2.147516,0.667570,0.351644,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.658464,3.946474,3.169291,1.888320,0.656256,0.279518,4.859377,3.332270,2.460408,0.688845,0.371548,4.320640,3.330194,1.870739,0.609995,0.286275,4.442888,3.516543,1.596309,0.661663,0.371708,3.019486,2.586592,1.239801,0.463917,0.328444,3.000055,2.498217,0.953727,0.740545,0.441565,3.956726,3.427870,2.141612,1.434370,1.095294,3.054392,4.800874,1.380957,1.578737,0.955699,4.093445,4.710619,1.320017,1.581868,0.964300,3.299647,3.501183,1.627057,1.277001,1.020376,5.515979,4.292075,1.469456,0.691110,0.416906,3.902900,2.599671,1.566039,0.611010,0.286179,12.036418,3.823479,1.515513,0.774978,0.397672,5.604023,3.187311,1.974391,0.676817,0.302932,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.784847,3.387901,2.637883,1.641475,0.668047,0.240777,3.781473,2.291655,2.155169,0.705051,0.353151,3.818617,3.063170,1.650859,0.618863,0.251817,3.632344,2.650924,1.425571,0.634750,0.313652,2.417220,2.049115,0.967149,0.422970,0.309353,2.385140,1.958345,0.661027,0.609541,0.424366,3.235471,2.881107,1.976327,1.311591,1.060970,2.992987,4.315297,1.717327,1.461486,1.003163,3.485918,4.276144,1.302490,1.481804,0.928056,2.743750,2.956728,1.667818,1.168085,0.890034,4.606557,3.720784,1.512832,0.728430,0.361388,3.372520,2.321623,1.516256,0.634633,0.270179,12.771956,3.208572,1.551387,0.807084,0.361360,4.610223,2.899810,1.902066,0.703411,0.278005,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.911237,3.111640,2.169708,1.440604,0.675188,0.236308,3.261960,1.505048,1.795660,0.791667,0.351277,3.466497,2.678816,1.495227,0.619728,0.238442,3.127197,1.902746,1.278353,0.615373,0.280891,2.224694,1.582396,0.713464,0.402424,0.287294,2.240273,1.542793,0.467967,0.482138,0.402304,2.884399,2.417375,1.964924,1.185461,1.039322,3.250089,3.735320,2.151137,1.252436,1.029014,3.145982,3.776208,1.325957,1.331254,0.881444,2.418124,2.468435,1.665033,1.049826,0.781804,3.898880,3.094060,1.611714,0.750399,0.335103,2.920343,2.041869,1.508726,0.642295,0.274167,12.540800,2.718303,1.591384,0.810633,0.371914,3.968864,2.568877,1.861295,0.718301,0.270248,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.037635,2.782347,1.839815,1.275308,0.665885,0.254139,2.779156,1.024396,1.431044,0.918422,0.366051,3.046011,2.239638,1.388765,0.599391,0.240040,2.571913,1.357911,1.151437,0.598680,0.270934,2.069789,1.231332,0.498659,0.399933,0.263040,2.094670,1.269996,0.362291,0.392296,0.374878,2.542213,2.065168,2.058518,1.113093,1.026139,3.457163,3.202518,2.601337,1.019812,1.022146,2.696737,3.280840,1.415021,1.152663,0.844608,2.002117,2.117198,1.646267,0.935344,0.723847,3.178105,2.525501,1.689756,0.746989,0.333488,2.361040,1.795926,1.504611,0.627097,0.294864,11.779522,2.430890,1.574304,0.784757,0.419471,3.368081,2.287699,1.813993,0.711929,0.275511,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.164042,2.499098,1.737986,1.141354,0.643138,0.282090,2.323722,0.840789,1.135072,1.053445,0.399078,2.645204,1.890896,1.314762,0.561119,0.251581,2.008960,1.071802,1.054869,0.599214,0.277950,1.873132,1.034176,0.355293,0.414989,0.241499,1.880643,1.154694,0.339601,0.358247,0.344985,2.232761,1.861138,2.199133,1.111705,1.010384,3.593649,2.792364,2.960767,0.829129,0.985075,2.236309,2.858806,1.569915,0.973738,0.839456,1.580066,1.932708,1.644134,0.841072,0.731535,2.706985,2.170698,1.715674,0.727757,0.350735,1.887874,1.663883,1.477000,0.597139,0.329248,11.243110,2.351336,1.493293,0.747859,0.488295,2.923566,2.184574,1.740676,0.691207,0.293643,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.290453,2.533817,1.898695,1.039819,0.624365,0.313762,2.172652,0.893146,0.953900,1.175245,0.449449,2.505053,1.765907,1.254249,0.525229,0.271992,1.785624,1.045305,0.999257,0.636360,0.297860,1.815524,0.991854,0.312500,0.452942,0.229990,1.797392,1.184566,0.381874,0.385610,0.320727,2.113581,1.832899,2.254886,1.161754,0.980536,3.759818,2.513814,3.107191,0.716771,0.930668,2.095536,2.552475,1.725926,0.831795,0.875493,1.483650,1.888812,1.659657,0.791458,0.796783,2.861953,2.099320,1.696645,0.722804,0.383704,1.743642,1.701074,1.415133,0.572129,0.374502,11.068741,2.403728,1.392632,0.735775,0.561282,2.960840,2.316475,1.636560,0.679445,0.329048,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.416893,3.238455,2.299265,0.961516,0.629926,0.352886,2.697584,1.113020,0.878320,1.273575,0.516412,2.951612,1.936830,1.180769,0.514747,0.308834,2.292048,1.247725,0.973445,0.716481,0.335315,2.202884,1.086619,0.362516,0.523638,0.241124,2.227788,1.340745,0.451526,0.480760,0.319320,2.527198,2.028788,2.148112,1.252200,0.934951,4.177379,2.352179,2.970726,0.708718,0.883736,2.738530,2.387185,1.789038,0.792701,0.948213,2.193415,1.954196,1.651082,0.832132,0.895290,4.156320,2.306291,1.639184,0.767824,0.436474,2.294821,1.929332,1.307350,0.571509,0.431809,12.118368,2.641132,1.317370,0.783461,0.628795,3.850199,2.663080,1.492842,0.696408,0.388134,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.543103,4.947393,2.855193,0.909668,0.677139,0.406726,4.085419,1.447106,0.873582,1.350257,0.597017,4.291301,2.366292,1.089516,0.546144,0.370606,3.781942,1.610741,0.964262,0.831998,0.396975,3.284148,1.282400,0.482915,0.634338,0.285192,3.593034,1.568355,0.527892,0.652326,0.356889,3.908532,2.449800,1.914610,1.391959,0.881145,5.184105,2.264348,2.585530,0.823938,0.869464,4.629401,2.346207,1.695637,0.930179,1.040016,4.176660,2.097779,1.574595,1.013782,0.995554,7.120520,2.717089,1.569002,0.893031,0.512769,3.874588,2.302992,1.162717,0.608804,0.502014,15.423080,3.161728,1.309652,0.916200,0.687411,5.964713,3.133492,1.324061,0.752374,0.470941,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.669281,7.777394,3.475490,0.880292,0.770075,0.479036,6.350321,1.878601,0.903741,1.412956,0.683746,6.620140,2.954403,0.985833,0.620813,0.458189,6.280851,2.068539,0.962498,0.965144,0.484364,5.140234,1.551566,0.645349,0.782196,0.362308,6.066277,1.797512,0.607719,0.896355,0.437090,6.453567,2.988788,1.667867,1.595112,0.832483,6.946200,2.212655,2.062743,1.060203,0.902863,7.883834,2.418939,1.448834,1.275407,1.129050,7.516981,2.332971,1.415646,1.354826,1.071575,11.816657,3.275347,1.494473,1.099670,0.607885,6.517942,2.764437,0.998151,0.685411,0.581253,21.064015,4.054623,1.368821,1.136043,0.736787,9.341073,3.643898,1.149488,0.844851,0.567274,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.795468,11.291826,4.119089,0.877045,0.894579,0.567889,9.120310,2.448633,0.954117,1.467212,0.766522,9.549484,3.616142,0.899163,0.723892,0.563785,9.349938,2.604651,0.980414,1.093981,0.593187,7.461357,1.885633,0.817289,0.954201,0.461045,9.241854,1.991492,0.703948,1.188770,0.547724,9.763268,3.482464,1.517896,1.860360,0.803361,9.183002,2.198444,1.536226,1.386800,0.981750,11.963979,2.634006,1.123022,1.779253,1.200373,11.658024,2.721916,1.202614,1.802797,1.112912,17.566423,3.986059,1.420118,1.350746,0.709867,9.830530,3.283424,0.847406,0.790180,0.661990,28.179195,5.304045,1.465198,1.407635,0.779737,13.497891,4.189435,1.006049,0.958361,0.662530,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.921663,14.432476,4.795024,0.896991,1.024352,0.662874,11.623675,3.215413,1.036003,1.517087,0.834927,12.207547,4.306593,0.853111,0.833532,0.670615,12.094906,3.234872,1.031052,1.204751,0.710989,9.582621,2.261719,0.955684,1.130293,0.560540,12.165753,2.152297,0.822564,1.479033,0.662925,12.863822,3.819518,1.556444,2.143822,0.801146,11.166816,2.295667,1.134531,1.744960,1.085749,15.682308,3.071112,0.835234,2.311524,1.247992,15.445940,3.358711,1.000206,2.243818,1.122414,22.817145,4.881623,1.330981,1.589741,0.802734,12.890218,3.860517,0.742553,0.911088,0.733487,34.717564,6.834586,1.540228,1.674397,0.819492,17.254316,4.820100,0.920444,1.076246,0.742406,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.047866,16.333649,5.405041,0.921474,1.126436,0.749922,13.370041,4.132665,1.164161,1.559416,0.883437,13.892400,4.880423,0.846306,0.923566,0.759697,13.920402,3.892723,1.110881,1.291070,0.820651,11.113626,2.606282,1.033371,1.284386,0.637644,14.198569,2.265986,0.951997,1.697886,0.752777,15.033351,3.900139,1.796874,2.367922,0.817908,12.380964,2.479984,0.902480,2.055450,1.183721,18.032019,3.676513,0.677637,2.704997,1.276043,17.804618,4.207378,0.874040,2.539640,1.114731,26.116950,5.815498,1.208587,1.755008,0.877241,14.844149,4.388384,0.695950,1.028658,0.787897,38.584831,8.388477,1.550619,1.872085,0.860694,19.552762,5.444712,0.890535,1.179072,0.799672,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.174082,16.830239,5.864531,0.961809,1.181846,0.822317,14.460655,5.105568,1.368399,1.588939,0.915728,14.503564,5.234335,0.890691,0.985125,0.821958,14.887378,4.513716,1.235609,1.360327,0.909939,12.197287,2.892777,1.080895,1.399388,0.680127,15.382982,2.341511,1.080618,1.788311,0.800316,16.222514,3.691720,2.158867,2.455449,0.837126,12.870988,2.647627,0.828110,2.254362,1.255134,18.846131,4.305961,0.683458,2.842162,1.305278,18.416883,5.139655,0.865296,2.601476,1.118473,26.949342,6.591096,1.071449,1.814979,0.940514,15.431019,4.775653,0.725421,1.127061,0.828929,39.301101,9.613780,1.510054,1.960922,0.912341,20.134693,5.938665,0.917632,1.254078,0.839781,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.300305,16.513040,6.216824,1.049801,1.198084,0.888570,15.553649,6.085087,1.678683,1.604766,0.946887,14.616106,5.427798,1.000078,1.035420,0.865589,15.640778,5.116339,1.432625,1.431850,0.978813,13.430336,3.231802,1.168356,1.476152,0.696731,16.481224,2.533470,1.209292,1.741445,0.813228,17.124007,3.390970,2.519580,2.390122,0.848344,13.191559,2.797613,0.876804,2.331771,1.300837,18.949026,4.917170,0.820026,2.718403,1.370352,17.985381,6.085288,0.980419,2.440287,1.169581,26.071939,7.177855,0.973300,1.783748,1.017266,15.131075,5.062794,0.842272,1.203661,0.873943,38.538480,10.381074,1.479145,1.944519,0.991387,19.610530,6.308499,1.001526,1.304011,0.880739,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.426536,16.747935,6.531784,1.191485,1.226983,0.973028,17.983605,7.048371,2.079900,1.638202,1.005570,15.517644,5.573274,1.150958,1.123602,0.917306,17.458925,5.753778,1.693712,1.551646,1.045798,15.868951,3.789958,1.338029,1.547291,0.718871,18.961055,3.046318,1.330930,1.626059,0.828736,19.060689,3.323054,2.806104,2.257733,0.862096,14.318783,2.968873,1.017848,2.356824,1.341980,19.943595,5.476165,1.019437,2.470367,1.506758,18.046384,6.968015,1.173688,2.184640,1.301088,25.343161,7.608156,0.948957,1.729995,1.142065,15.275722,5.327963,1.017387,1.283649,0.949777,39.811760,10.551022,1.504133,1.883162,1.124128,19.472025,6.611535,1.119489,1.365374,0.948429,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.552775,19.191650,6.920268,1.384118,1.327062,1.096348,23.278736,8.021088,2.525664,1.730649,1.116792,18.760717,5.818297,1.319774,1.292796,1.003976,21.818363,6.503113,1.986763,1.759018,1.134142,20.664484,4.709673,1.586747,1.650926,0.780786,24.456761,4.029872,1.440802,1.547822,0.888394,23.577341,3.785162,2.999180,2.201402,0.901604,17.484020,3.257501,1.201218,2.427338,1.396951,23.735520,6.026429,1.229538,2.290030,1.717724,20.403480,7.769857,1.389648,2.008519,1.515335,26.990457,8.020352,1.039194,1.734369,1.331662,17.529695,5.690732,1.223770,1.395565,1.072377,46.323202,10.159960,1.633318,1.857932,1.324787,21.410515,6.979463,1.271959,1.482070,1.057899,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.679024,24.917366,7.386683,1.569526,1.516838,1.254178,32.063186,8.911686,2.896144,1.891207,1.279229,25.268641,6.188106,1.447361,1.538728,1.129660,29.401467,7.303857,2.214944,2.049335,1.249597,28.240065,5.941896,1.841592,1.798633,0.893648,33.585925,5.435483,1.523194,1.580065,1.007361,31.367098,4.838769,3.104488,2.317539,0.983327,23.249464,3.714357,1.392094,2.588964,1.462864,31.364766,6.560034,1.447315,2.303272,1.958700,26.069007,8.412989,1.591437,2.023925,1.770284,32.590826,8.473446,1.217322,1.831048,1.563535,23.007427,6.158496,1.399650,1.541811,1.228773,58.516526,9.328665,1.863964,1.916736,1.575405,26.685293,7.439621,1.420205,1.664490,1.197360,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.805280,33.314646,7.769150,1.694374,1.758561,1.409583,43.146699,9.501160,3.113559,2.079254,1.456762,34.269470,6.561667,1.499795,1.804090,1.264526,39.265873,7.952833,2.302450,2.362037,1.369240,37.531569,7.185559,2.022832,1.962946,1.033140,44.977217,6.941159,1.562071,1.721376,1.160223,41.357293,6.219194,3.134056,2.598572,1.100306,30.843749,4.276862,1.580759,2.805048,1.512802,41.861634,6.976890,1.713119,2.502570,2.148512,34.273147,8.757891,1.794704,2.217540,1.987075,41.533445,8.841176,1.436285,1.987205,1.776940,31.133552,6.602934,1.504990,1.690669,1.374598,73.520671,8.309467,2.169704,2.042816,1.822648,34.681107,7.847839,1.542459,1.873780,1.326410,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658524.931547,42.092522,7.815056,1.724113,1.970189,1.505772,53.611806,9.556009,3.152188,2.210272,1.589339,43.364452,6.705393,1.473874,2.000065,1.355593,48.833694,8.207130,2.221819,2.600782,1.447965,46.077058,8.016985,2.078951,2.079384,1.147646,55.487701,8.051341,1.542204,1.890584,1.291787,50.763138,7.406420,3.083935,2.922770,1.221376,38.111440,4.761388,1.794289,2.972122,1.510344,52.262983,7.097267,2.104722,2.754542,2.205940,42.614312,8.638850,2.056849,2.462877,2.084649,51.180095,8.861688,1.674852,2.116788,1.896724,39.731628,6.783971,1.538310,1.785149,1.451159,87.732361,7.209658,2.527828,2.160774,1.993817,43.208639,7.949002,1.635600,2.032573,1.392890,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658525.057823,48.145297,7.331893,1.671221,2.064198,1.495400,59.829507,8.893146,3.037774,2.196493,1.623071,49.439150,6.417664,1.411210,2.049284,1.354217,54.835566,7.868616,2.010755,2.678619,1.443693,51.018597,8.063064,2.006665,2.077052,1.186274,61.483801,8.327122,1.457722,1.972668,1.347244,56.249739,7.907103,2.923890,3.108560,1.305220,42.457557,4.987998,2.043942,2.974480,1.428901,58.828672,6.795359,2.661265,2.879399,2.086701,47.971975,7.975600,2.420866,2.597485,2.015617,57.926914,8.337189,1.946486,2.127511,1.869360,45.834427,6.519547,1.541164,1.771381,1.415167,97.891866,6.285323,2.935900,2.173904,2.028557,49.170741,7.538260,1.720932,2.062671,1.360136,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658525.184104,48.899632,6.326754,1.571055,1.994248,1.366874,59.180221,7.559591,2.812816,1.998954,1.538020,50.009326,5.662923,1.358184,1.927521,1.242842,54.732644,6.940623,1.729988,2.566159,1.344872,50.240042,7.224500,1.833513,1.920654,1.129105,60.374061,7.627461,1.310140,1.889574,1.302305,55.371120,7.521345,2.633180,3.021110,1.320260,42.042697,4.853383,2.292268,2.751999,1.269137,58.744394,6.054600,3.308512,2.760516,1.807726,47.986038,6.839254,2.846954,2.525027,1.787641,58.799146,7.277202,2.253759,1.978463,1.689336,47.012825,5.782441,1.549627,1.632158,1.262290,101.564703,5.816054,3.371761,2.028833,1.907545,50.114119,6.604581,1.811108,1.928436,1.226266,4,4,4,4,4,4,4,4,4,4,4,4,4,4
